Serial No.,Student ID,Credits,CGPA,Course Difficulty,PASS/FAIL
93,93,2,4,2.0,1
94,94,1,4,1.0,1
95,95,3,10,3.0,1
96,96,1,7,-2.0,1
97,97,4,7,2.5,1
98,98,5,4,8.0,0
99,99,5,4,6.5,0
100,100,2,2,2.0,1
101,101,4,8,2.5,1
102,102,4,0,2.5,0
103,103,4,4,5.5,0
104,104,2,1,3.5,0
105,105,5,1,5.0,0
106,106,5,3,5.0,0
107,107,1,3,1.0,1
108,108,3,6,3.0,1
109,109,1,3,2.5,1
110,110,2,3,0.5,1
111,111,4,2,5.5,0
112,112,2,10,2.0,1
113,113,2,4,2.0,1
114,114,3,10,0.0,1
115,115,5,3,5.0,0
116,116,4,4,5.5,0
117,117,5,7,6.5,0
118,118,3,5,6.0,0
119,119,1,7,-0.5,1
120,120,5,7,2.0,1
121,121,1,7,-0.5,1
122,122,2,6,3.5,1
123,123,1,2,-0.5,1
124,124,3,1,1.5,1
125,125,4,6,5.5,0
126,126,1,5,2.5,1
127,127,4,1,4.0,0
128,128,5,8,8.0,0
129,129,2,5,0.5,1
130,130,5,0,8.0,0
131,131,2,4,-1.0,1
132,132,2,8,0.5,1
133,133,2,9,0.5,1
134,134,5,8,6.5,0
135,135,4,6,5.5,0
136,136,4,0,5.5,0
137,137,4,8,4.0,1
138,138,5,5,6.5,0
139,139,2,9,3.5,1
140,140,4,4,4.0,0
141,141,2,5,3.5,0
142,142,5,5,2.0,1
143,143,4,1,5.5,0
144,144,4,6,4.0,0
145,145,5,8,3.5,1
146,146,1,0,2.5,0
147,147,3,2,4.5,0
148,148,3,3,3.0,0
149,149,5,8,3.5,1
150,150,3,10,1.5,1
151,151,2,3,0.5,1
152,152,1,1,1.0,0
153,153,5,8,8.0,0
154,154,2,0,0.5,0
155,155,2,10,2.0,1
156,156,3,8,1.5,1
157,157,5,1,5.0,0
158,158,2,7,3.5,1
159,159,3,0,3.0,0
160,160,2,6,-1.0,1
161,161,5,8,2.0,1
162,162,3,6,4.5,0
163,163,4,8,4.0,1
164,164,2,7,2.0,1
165,165,3,1,4.5,0
166,166,4,4,2.5,1
167,167,3,8,1.5,1
168,168,3,5,3.0,0
169,169,2,9,2.0,1
170,170,1,6,2.5,1
171,171,1,8,2.5,1
172,172,2,5,0.5,1
173,173,4,6,5.5,0
174,174,2,1,3.5,0
175,175,3,10,4.5,1
176,176,1,7,-0.5,1
177,177,4,0,1.0,0
178,178,3,0,3.0,0
179,179,2,2,5.0,0
180,180,3,6,1.5,1
181,181,3,8,4.5,0
182,182,1,4,-0.5,1
183,183,1,2,4.0,0
184,184,1,5,-2.0,1
185,185,4,8,2.5,1
186,186,4,0,1.0,1
187,187,1,7,-0.5,1
188,188,5,0,3.5,0
189,189,1,3,1.0,1
190,190,4,6,1.0,1
191,191,2,0,0.5,0
192,192,5,10,5.0,1
193,193,5,4,6.5,0
194,194,4,4,2.5,0
195,195,5,9,5.0,0
196,196,1,10,-0.5,1
197,197,2,4,2.0,1
198,198,1,8,-0.5,1
199,199,1,10,1.0,1
200,200,3,8,0.0,1
201,201,1,0,2.5,0
202,202,2,2,2.0,1
203,203,5,2,5.0,0
204,204,1,8,-0.5,1
205,205,2,5,2.0,1
206,206,1,9,-2.0,1
207,207,1,0,-2.0,1
208,208,1,7,1.0,1
209,209,1,6,-0.5,1
210,210,1,1,-0.5,1
211,211,3,10,0.0,1
212,212,3,7,1.5,1
213,213,4,9,7.0,0
214,214,4,10,7.0,0
215,215,5,9,6.5,0
216,216,1,5,4.0,1
217,217,3,2,1.5,0
218,218,1,5,2.5,1
219,219,1,4,-0.5,1
220,220,4,1,2.5,0
221,221,2,6,2.0,1
222,222,4,10,1.0,1
223,223,2,5,0.5,1
224,224,1,6,-2.0,1
225,225,4,5,4.0,1
226,226,4,1,4.0,0
227,227,3,4,3.0,1
228,228,5,0,3.5,0
229,229,3,1,4.5,0
230,230,4,0,4.0,0
231,231,2,0,2.0,0
232,232,1,0,1.0,1
233,233,4,6,7.0,0
234,234,2,8,5.0,0
235,235,4,2,5.5,0
236,236,5,2,5.0,0
237,237,3,10,3.0,1
238,238,5,1,6.5,0
239,239,2,3,0.5,1
240,240,5,0,3.5,0
241,241,5,8,5.0,0
242,242,2,2,-1.0,1
243,243,5,4,3.5,0
244,244,3,5,3.0,0
245,245,3,8,4.5,1
246,246,5,7,2.0,1
247,247,4,6,2.5,1
248,248,2,1,0.5,1
249,249,4,8,2.5,1
250,250,1,8,1.0,1
251,251,1,7,1.0,1
252,252,5,2,6.5,0
253,253,3,4,6.0,0
254,254,5,6,8.0,0
255,255,3,3,4.5,0
256,256,1,6,1.0,1
257,257,2,8,0.5,1
258,258,3,7,0.0,1
259,259,2,0,2.0,0
260,260,3,10,0.0,1
261,261,4,4,4.0,0
262,262,3,9,3.0,1
263,263,5,3,5.0,0
264,264,2,7,2.0,1
265,265,2,6,3.5,1
266,266,1,8,2.5,1
267,267,2,0,2.0,0
268,268,4,3,5.5,0
269,269,2,7,5.0,0
270,270,3,0,4.5,0
271,271,4,9,5.5,0
272,272,3,5,4.5,0
273,273,4,10,4.0,1
274,274,5,2,2.0,0
275,275,3,9,1.5,1
276,276,3,7,6.0,0
277,277,5,0,5.0,0
278,278,2,1,3.5,0
279,279,4,7,1.0,1
280,280,1,9,1.0,1
281,281,1,4,-2.0,1
282,282,1,6,2.5,1
283,283,5,6,3.5,1
284,284,1,1,4.0,0
285,285,3,3,3.0,1
286,286,5,3,5.0,0
287,287,1,10,2.5,1
288,288,4,7,4.0,1
289,289,4,7,4.0,1
290,290,4,0,5.5,0
291,291,5,1,3.5,0
292,292,1,2,-2.0,1
293,293,2,10,2.0,1
294,294,5,10,3.5,1
295,295,3,6,3.0,1
296,296,5,1,5.0,0
297,297,1,7,-0.5,1
298,298,2,10,5.0,1
299,299,2,1,0.5,1
300,300,4,0,4.0,0
301,301,4,5,1.0,1
302,302,3,9,1.5,1
303,303,3,7,4.5,0
304,304,1,1,1.0,0
305,305,2,4,5.0,0
306,306,5,2,5.0,0
307,307,1,9,1.0,1
308,308,4,3,2.5,0
309,309,4,9,5.5,0
310,310,2,8,2.0,1
311,311,3,8,1.5,1
312,312,2,1,0.5,1
313,313,5,3,2.0,1
314,314,3,3,4.5,0
315,315,1,6,-0.5,1
316,316,4,9,7.0,0
317,317,4,1,1.0,1
318,318,1,9,2.5,1
319,319,5,2,3.5,0
320,320,4,8,4.0,1
321,321,1,6,2.5,1
322,322,4,6,4.0,1
323,323,1,8,2.5,1
324,324,3,6,3.0,1
325,325,1,3,-0.5,1
326,326,5,6,6.5,0
327,327,5,2,6.5,0
328,328,5,4,8.0,0
329,329,4,9,2.5,1
330,330,2,9,-1.0,1
331,331,4,1,5.5,0
332,332,5,10,2.0,1
333,333,3,5,4.5,0
334,334,5,3,5.0,0
335,335,5,10,6.5,0
336,336,1,3,2.5,0
337,337,4,9,4.0,1
338,338,5,2,3.5,0
339,339,1,7,2.5,1
340,340,1,4,1.0,1
341,341,3,3,3.0,0
342,342,3,1,1.5,0
343,343,2,7,3.5,1
344,344,1,3,2.5,1
345,345,2,4,3.5,1
346,346,2,4,2.0,1
347,347,3,10,1.5,1
348,348,1,5,1.0,1
349,349,2,3,2.0,1
350,350,1,3,2.5,1
351,351,5,10,3.5,1
352,352,5,4,3.5,0
353,353,1,9,1.0,1
354,354,3,5,3.0,0
355,355,4,0,5.5,0
356,356,2,9,3.5,1
357,357,4,8,7.0,0
358,358,4,0,2.5,0
359,359,4,1,7.0,0
360,360,1,7,2.5,1
361,361,3,4,0.0,1
362,362,2,3,2.0,1
363,363,4,2,1.0,1
364,364,5,8,6.5,0
365,365,3,5,3.0,1
366,366,1,5,-0.5,1
367,367,5,10,3.5,1
368,368,2,1,0.5,1
369,369,3,0,4.5,0
370,370,2,2,5.0,0
371,371,2,5,0.5,1
372,372,3,10,3.0,1
373,373,4,0,2.5,0
374,374,5,5,5.0,0
375,375,3,2,6.0,0
376,376,2,10,-1.0,1
377,377,3,2,1.5,1
378,378,2,7,2.0,1
379,379,3,2,1.5,1
380,380,5,1,3.5,0
381,381,4,3,5.5,0
382,382,3,9,4.5,1
383,383,5,8,3.5,1
384,384,2,8,-1.0,1
385,385,4,5,2.5,1
386,386,1,4,1.0,1
387,387,4,1,5.5,0
388,388,3,5,3.0,1
389,389,2,0,-1.0,1
390,390,4,2,2.5,0
391,391,3,7,0.0,1
392,392,1,8,2.5,1
393,393,3,9,4.5,1
394,394,3,7,3.0,1
395,395,4,6,5.5,0
396,396,2,10,0.5,1
397,397,3,0,6.0,0
398,398,5,8,3.5,1
399,399,3,9,3.0,1
400,400,3,10,1.5,1
401,401,5,6,6.5,0
402,402,3,10,1.5,1
403,403,5,10,6.5,0
404,404,4,1,5.5,0
405,405,3,8,1.5,1
406,406,5,2,8.0,0
407,407,4,8,2.5,1
408,408,1,8,2.5,1
409,409,3,7,0.0,1
410,410,1,0,4.0,0
411,411,3,8,6.0,0
412,412,5,5,5.0,0
413,413,4,0,2.5,0
414,414,4,7,1.0,1
415,415,2,9,3.5,1
416,416,1,1,2.5,0
417,417,4,7,1.0,1
418,418,5,6,6.5,0
419,419,2,9,3.5,1
420,420,4,2,2.5,1
421,421,2,10,0.5,1
422,422,4,5,1.0,1
423,423,3,0,3.0,0
424,424,4,7,1.0,1
425,425,4,9,5.5,1
426,426,4,4,4.0,0
427,427,1,6,-0.5,1
428,428,5,7,5.0,0
429,429,2,2,2.0,0
430,430,4,9,2.5,1
431,431,2,7,0.5,1
432,432,2,10,2.0,1
433,433,4,5,7.0,0
434,434,2,4,3.5,1
435,435,4,6,2.5,1
436,436,2,10,-1.0,1
437,437,1,6,2.5,1
438,438,2,6,3.5,1
439,439,2,8,3.5,1
440,440,1,6,1.0,1
441,441,3,10,6.0,0
442,442,3,0,3.0,0
443,443,4,1,4.0,0
444,444,4,5,5.5,0
445,445,2,8,2.0,1
446,446,2,8,5.0,1
447,447,3,10,0.0,1
448,448,5,4,5.0,0
449,449,1,4,1.0,1
450,450,4,4,4.0,0
451,451,2,8,5.0,0
452,452,1,2,1.0,1
453,453,4,7,4.0,1
454,454,4,7,1.0,1
455,455,4,3,2.5,1
456,456,5,9,6.5,0
457,457,3,4,3.0,0
458,458,1,1,1.0,1
459,459,2,8,0.5,1
460,460,3,9,3.0,1
461,461,2,6,0.5,1
462,462,4,8,5.5,0
463,463,2,7,3.5,1
464,464,3,2,4.5,0
465,465,3,4,3.0,1
466,466,1,1,-0.5,1
467,467,3,1,6.0,0
468,468,5,9,5.0,1
469,469,3,5,6.0,0
470,470,5,1,6.5,0
471,471,3,3,3.0,1
472,472,3,1,0.0,1
473,473,3,4,4.5,0
474,474,4,7,4.0,1
475,475,5,3,2.0,1
476,476,1,4,-0.5,1
477,477,3,6,1.5,1
478,478,2,10,5.0,1
479,479,2,5,5.0,0
480,480,1,7,1.0,1
481,481,3,3,4.5,0
482,482,5,9,2.0,1
483,483,2,1,2.0,1
484,484,4,7,4.0,0
485,485,1,0,1.0,0
486,486,3,5,4.5,0
487,487,1,0,2.5,0
488,488,2,2,5.0,0
489,489,3,2,6.0,0
490,490,5,6,8.0,0
491,491,5,7,5.0,1
492,492,5,2,6.5,0
493,493,1,7,-0.5,1
494,494,5,8,6.5,0
495,495,5,2,3.5,0
496,496,5,6,2.0,1
497,497,5,2,5.0,0
498,498,5,3,5.0,0
499,499,5,9,6.5,0
500,500,4,10,4.0,1
501,501,4,0,4.0,0
502,502,4,2,5.5,0
503,503,5,2,2.0,0
504,504,5,3,5.0,0
505,505,1,3,1.0,1
506,506,3,1,1.5,0
507,507,2,10,0.5,1
508,508,2,6,0.5,1
509,509,4,8,5.5,0
510,510,5,1,3.5,0
511,511,5,4,3.5,1
512,512,5,6,3.5,1
513,513,2,4,3.5,0
514,514,1,1,1.0,0
515,515,3,0,0.0,1
516,516,3,4,4.5,0
517,517,3,5,6.0,0
518,518,2,6,2.0,1
519,519,4,7,4.0,1
520,520,1,0,1.0,0
521,521,4,1,1.0,1
522,522,4,7,1.0,1
523,523,5,8,2.0,1
524,524,2,8,2.0,1
525,525,1,8,1.0,1
526,526,1,2,1.0,1
527,527,3,7,1.5,1
528,528,4,0,4.0,0
529,529,3,9,1.5,1
530,530,3,6,4.5,0
531,531,1,8,2.5,1
532,532,1,6,-0.5,1
533,533,1,9,2.5,1
534,534,3,0,4.5,0
535,535,3,8,1.5,1
536,536,3,6,3.0,1
537,537,4,6,7.0,0
538,538,4,10,1.0,1
539,539,3,9,3.0,1
540,540,2,10,3.5,1
541,541,4,10,1.0,1
542,542,2,2,0.5,1
543,543,4,0,4.0,0
544,544,4,6,4.0,0
545,545,5,4,6.5,0
546,546,3,0,6.0,0
547,547,2,1,-1.0,1
548,548,4,5,7.0,0
549,549,4,5,4.0,1
550,550,1,3,1.0,1
551,551,3,5,1.5,1
552,552,2,1,2.0,0
553,553,1,4,2.5,1
554,554,5,7,3.5,1
555,555,2,10,5.0,1
556,556,3,0,6.0,0
557,557,1,5,2.5,1
558,558,5,0,5.0,0
559,559,4,1,1.0,1
560,560,2,3,0.5,1
561,561,2,3,0.5,1
562,562,4,6,4.0,0
563,563,4,9,7.0,0
564,564,4,2,2.5,0
565,565,3,4,3.0,1
566,566,5,2,6.5,0
567,567,4,0,4.0,0
568,568,5,5,5.0,0
569,569,4,7,4.0,1
570,570,4,10,5.5,0
571,571,1,8,-0.5,1
572,572,2,10,5.0,1
573,573,2,10,3.5,1
574,574,3,7,4.5,0
575,575,4,9,1.0,1
576,576,1,6,-2.0,1
577,577,2,6,2.0,1
578,578,4,10,4.0,1
579,579,1,7,1.0,1
580,580,3,7,3.0,1
581,581,2,0,5.0,0
582,582,5,4,2.0,1
583,583,3,9,3.0,1
584,584,5,5,6.5,0
585,585,3,7,4.5,0
586,586,1,4,-0.5,1
587,587,1,0,-2.0,1
588,588,5,8,2.0,1
589,589,4,2,2.5,1
590,590,5,3,8.0,0
591,591,1,4,4.0,0
592,592,5,6,2.0,1
593,593,3,8,0.0,1
594,594,2,5,0.5,1
595,595,1,0,1.0,1
596,596,1,6,-2.0,1
597,597,2,7,2.0,1
598,598,1,0,4.0,0
599,599,5,2,6.5,0
600,600,5,0,8.0,0
601,601,3,2,3.0,0
602,602,3,5,4.5,0
603,603,3,9,4.5,1
604,604,3,0,1.5,0
605,605,2,1,3.5,0
606,606,2,4,3.5,0
607,607,4,6,4.0,0
608,608,3,3,1.5,1
609,609,4,4,5.5,0
610,610,5,2,3.5,0
611,611,5,5,6.5,0
612,612,3,8,4.5,1
613,613,1,1,2.5,0
614,614,2,2,2.0,0
615,615,4,3,5.5,0
616,616,5,6,2.0,1
617,617,5,9,8.0,0
618,618,4,4,5.5,0
619,619,1,9,-0.5,1
620,620,2,10,2.0,1
621,621,4,3,5.5,0
622,622,3,1,1.5,0
623,623,5,6,5.0,0
624,624,4,3,4.0,0
625,625,2,7,3.5,1
626,626,3,1,1.5,0
627,627,1,0,1.0,0
628,628,2,7,0.5,1
629,629,1,6,1.0,1
630,630,1,9,1.0,1
631,631,4,9,4.0,1
632,632,5,0,5.0,0
633,633,4,3,2.5,0
634,634,4,5,5.5,0
635,635,1,2,2.5,1
636,636,4,4,1.0,1
637,637,5,2,3.5,0
638,638,3,3,3.0,0
639,639,5,2,2.0,0
640,640,1,0,-0.5,1
641,641,2,10,0.5,1
642,642,5,0,3.5,0
643,643,4,4,2.5,1
644,644,4,0,5.5,0
645,645,2,9,-1.0,1
646,646,5,0,5.0,0
647,647,2,0,0.5,1
648,648,3,10,1.5,1
649,649,1,4,4.0,0
650,650,5,1,8.0,0
651,651,3,3,3.0,0
652,652,5,8,5.0,1
653,653,1,6,2.5,1
654,654,4,0,2.5,0
655,655,5,10,5.0,1
656,656,2,5,3.5,0
657,657,4,6,4.0,0
658,658,5,9,5.0,0
659,659,4,0,4.0,0
660,660,2,1,2.0,0
661,661,5,5,6.5,0
662,662,4,9,1.0,1
663,663,3,2,1.5,0
664,664,1,0,2.5,0
665,665,2,7,2.0,1
666,666,5,10,6.5,1
667,667,5,4,8.0,0
668,668,5,10,5.0,1
669,669,2,9,3.5,1
670,670,4,5,2.5,1
671,671,3,9,1.5,1
672,672,2,3,2.0,0
673,673,5,5,3.5,0
674,674,3,5,3.0,0
675,675,4,7,1.0,1
676,676,5,5,6.5,0
677,677,2,0,2.0,0
678,678,3,0,3.0,0
679,679,2,7,0.5,1
680,680,4,0,4.0,0
681,681,1,4,-0.5,1
682,682,4,8,5.5,1
683,683,4,9,5.5,0
684,684,2,6,2.0,1
685,685,2,1,-1.0,1
686,686,3,8,1.5,1
687,687,3,9,6.0,1
688,688,2,8,2.0,1
689,689,2,10,0.5,1
690,690,5,7,6.5,0
691,691,5,4,6.5,0
692,692,1,4,-0.5,1
693,693,4,4,7.0,0
694,694,2,5,0.5,1
695,695,4,0,5.5,0
696,696,5,8,5.0,0
697,697,4,7,2.5,1
698,698,5,4,5.0,0
699,699,2,1,3.5,0
700,700,3,6,0.0,1
701,701,1,10,-0.5,1
702,702,4,6,4.0,0
703,703,4,8,2.5,1
704,704,1,9,1.0,1
705,705,2,7,2.0,1
706,706,2,4,5.0,0
707,707,2,10,2.0,1
708,708,5,6,5.0,0
709,709,2,2,2.0,0
710,710,5,6,5.0,0
711,711,2,8,-1.0,1
712,712,5,1,6.5,0
713,713,1,5,4.0,0
714,714,4,4,5.5,0
715,715,5,4,3.5,1
716,716,3,1,6.0,0
717,717,4,7,7.0,0
718,718,4,7,2.5,1
719,719,5,2,5.0,0
720,720,2,3,-1.0,1
721,721,2,5,0.5,1
722,722,5,5,6.5,0
723,723,5,0,6.5,0
724,724,1,4,-2.0,1
725,725,5,8,5.0,1
726,726,3,5,3.0,1
727,727,1,9,-0.5,1
728,728,4,9,5.5,1
729,729,3,10,3.0,1
730,730,2,3,2.0,1
731,731,3,0,4.5,0
732,732,4,8,5.5,1
733,733,2,10,0.5,1
734,734,3,0,3.0,0
735,735,1,2,4.0,0
736,736,2,5,5.0,0
737,737,4,7,5.5,0
738,738,2,6,2.0,1
739,739,1,1,1.0,1
740,740,2,3,5.0,0
741,741,1,4,-0.5,1
742,742,3,4,4.5,0
743,743,3,2,0.0,1
744,744,4,1,4.0,0
745,745,4,5,4.0,1
746,746,1,7,2.5,1
747,747,3,4,0.0,1
748,748,4,7,4.0,1
749,749,2,7,0.5,1
750,750,4,7,7.0,0
751,751,4,2,5.5,0
752,752,3,6,3.0,1
753,753,1,6,1.0,1
754,754,5,4,5.0,0
755,755,5,10,5.0,1
756,756,5,0,3.5,0
757,757,1,2,2.5,1
758,758,3,3,1.5,1
759,759,2,5,0.5,1
760,760,4,1,1.0,0
761,761,2,0,0.5,1
762,762,5,7,6.5,0
763,763,1,6,4.0,1
764,764,4,7,2.5,1
765,765,3,1,4.5,0
766,766,2,5,2.0,1
767,767,4,4,4.0,0
768,768,3,10,3.0,1
769,769,3,4,4.5,0
770,770,4,9,4.0,1
771,771,5,2,5.0,0
772,772,1,5,4.0,0
773,773,3,9,3.0,1
774,774,5,1,5.0,0
775,775,1,7,1.0,1
776,776,2,1,0.5,1
777,777,5,2,6.5,0
778,778,4,2,1.0,1
779,779,4,10,4.0,1
780,780,5,6,8.0,0
781,781,1,1,-0.5,1
782,782,1,6,-0.5,1
783,783,3,5,6.0,0
784,784,1,8,-0.5,1
785,785,5,8,6.5,0
786,786,4,9,1.0,1
787,787,1,0,-0.5,1
788,788,5,2,5.0,0
789,789,1,10,4.0,1
790,790,4,10,4.0,1
791,791,2,1,0.5,1
792,792,2,7,-1.0,1
793,793,2,6,2.0,1
794,794,4,6,7.0,0
795,795,5,3,8.0,0
796,796,1,4,2.5,1
797,797,5,10,5.0,1
798,798,3,7,1.5,1
799,799,2,8,-1.0,1
800,800,2,0,2.0,0
801,801,2,9,5.0,1
802,802,1,1,1.0,1
803,803,1,1,4.0,0
804,804,2,2,3.5,0
805,805,1,8,1.0,1
806,806,3,3,4.5,0
807,807,3,5,3.0,0
808,808,5,2,2.0,0
809,809,2,5,0.5,1
810,810,2,9,2.0,1
811,811,2,1,0.5,1
812,812,2,1,0.5,1
813,813,1,6,-2.0,1
814,814,4,0,4.0,0
815,815,5,6,6.5,0
816,816,4,10,2.5,1
817,817,5,0,2.0,0
818,818,5,6,6.5,0
819,819,3,9,3.0,1
820,820,5,8,2.0,1
821,821,4,6,7.0,0
822,822,1,6,2.5,1
823,823,1,9,1.0,1
824,824,4,4,2.5,0
825,825,5,4,5.0,0
826,826,2,2,3.5,0
827,827,2,7,3.5,1
828,828,1,7,2.5,1
829,829,4,0,2.5,0
830,830,2,2,2.0,0
831,831,1,7,1.0,1
832,832,2,6,2.0,1
833,833,3,6,3.0,1
834,834,5,5,3.5,1
835,835,1,1,-0.5,1
836,836,1,5,2.5,1
837,837,4,6,7.0,0
838,838,4,3,1.0,1
839,839,2,5,2.0,1
840,840,5,10,5.0,1
841,841,1,9,2.5,1
842,842,4,3,5.5,0
843,843,5,7,2.0,1
844,844,4,3,2.5,0
845,845,1,9,1.0,1
846,846,4,4,4.0,0
847,847,3,7,6.0,0
848,848,3,4,4.5,0
849,849,2,7,0.5,1
850,850,3,3,3.0,0
851,851,2,1,-1.0,1
852,852,3,9,4.5,1
853,853,3,6,0.0,1
854,854,2,5,5.0,0
855,855,1,0,1.0,0
856,856,5,5,5.0,0
857,857,3,5,1.5,1
858,858,2,3,-1.0,1
859,859,3,7,4.5,0
860,860,2,6,0.5,1
861,861,2,7,2.0,1
862,862,5,10,6.5,0
863,863,5,7,5.0,0
864,864,1,10,1.0,1
865,865,1,4,-0.5,1
866,866,3,6,1.5,1
867,867,5,1,5.0,0
868,868,3,10,4.5,1
869,869,1,8,2.5,1
870,870,3,8,3.0,1
871,871,4,3,4.0,0
872,872,2,0,3.5,0
873,873,4,7,4.0,0
874,874,4,7,7.0,0
875,875,1,0,2.5,0
876,876,1,1,1.0,0
877,877,4,2,4.0,0
878,878,4,9,4.0,1
879,879,4,9,5.5,1
880,880,1,7,4.0,1
881,881,5,7,5.0,1
882,882,1,2,-2.0,1
883,883,4,2,4.0,0
884,884,1,1,1.0,1
885,885,2,6,2.0,1
886,886,1,10,-2.0,1
887,887,3,8,0.0,1
888,888,5,9,3.5,1
889,889,3,10,4.5,1
890,890,3,5,0.0,1
891,891,2,7,2.0,1
892,892,2,10,2.0,1
893,893,1,9,1.0,1
894,894,3,10,1.5,1
895,895,2,4,3.5,0
896,896,1,9,-0.5,1
897,897,2,5,0.5,1
898,898,4,8,4.0,1
899,899,5,7,8.0,0
900,900,1,4,2.5,1
901,901,4,4,7.0,0
902,902,5,10,3.5,1
903,903,3,0,3.0,0
904,904,1,8,1.0,1
905,905,3,0,6.0,0
906,906,5,0,8.0,0
907,907,4,3,5.5,0
908,908,4,3,4.0,0
909,909,1,5,4.0,0
910,910,4,6,4.0,0
911,911,3,4,6.0,0
912,912,1,10,-0.5,1
913,913,1,7,-0.5,1
914,914,5,7,5.0,1
915,915,3,9,1.5,1
916,916,3,3,6.0,0
917,917,1,10,-2.0,1
918,918,2,3,2.0,1
919,919,1,4,1.0,1
920,920,5,7,6.5,0
921,921,3,2,3.0,0
922,922,2,8,3.5,1
923,923,3,1,1.5,1
924,924,3,3,1.5,1
925,925,1,4,1.0,1
926,926,1,7,4.0,0
927,927,5,3,6.5,0
928,928,5,9,5.0,1
929,929,4,7,5.5,0
930,930,1,10,-0.5,1
931,931,3,1,1.5,0
932,932,3,8,1.5,1
933,933,1,4,4.0,0
934,934,2,2,3.5,0
935,935,5,9,5.0,1
936,936,4,3,4.0,0
937,937,5,6,5.0,0
938,938,1,10,2.5,1
939,939,3,2,6.0,0
940,940,3,3,1.5,1
941,941,2,1,2.0,0
942,942,3,2,6.0,0
943,943,2,3,0.5,1
944,944,3,3,3.0,1
945,945,1,6,1.0,1
946,946,4,2,1.0,1
947,947,2,5,3.5,0
948,948,3,8,1.5,1
949,949,3,10,3.0,1
950,950,2,9,3.5,1
951,951,4,3,4.0,0
952,952,5,8,8.0,0
953,953,4,5,5.5,0
954,954,3,5,0.0,1
955,955,2,2,3.5,0
956,956,3,3,0.0,1
957,957,5,3,3.5,0
958,958,2,3,5.0,0
959,959,5,5,2.0,1
960,960,2,7,3.5,1
961,961,1,6,2.5,1
962,962,5,8,3.5,1
963,963,3,2,1.5,1
964,964,3,10,4.5,1
965,965,5,8,2.0,1
966,966,2,2,2.0,1
967,967,1,9,2.5,1
968,968,3,10,1.5,1
969,969,5,5,5.0,0
970,970,1,9,2.5,1
971,971,1,4,2.5,0
972,972,5,10,3.5,1
973,973,3,9,4.5,1
974,974,1,6,-0.5,1
975,975,2,4,2.0,1
976,976,3,6,4.5,1
977,977,5,1,8.0,0
978,978,4,8,4.0,1
979,979,5,10,2.0,1
980,980,1,6,1.0,1
981,981,2,9,2.0,1
982,982,2,0,3.5,0
983,983,1,0,-0.5,1
984,984,5,0,6.5,0
985,985,4,8,4.0,1
986,986,1,1,2.5,0
987,987,4,0,2.5,0
988,988,2,6,2.0,1
