TR,TF,TTS,CD,CR,CG,SNO,RCR
4,2,2,1,1,1.3488949640411507,7,4
1,2,3,4,2,2.127371833098893,7,6
2,3,1,2,3,9.498738387537978,7,9
2,1,5,4,5,4.295191715412743,7,4
4,4,1,4,5,6.586734965289232,7,3
5,5,3,2,4,1.0407429111910849,7,9
4,1,4,5,2,4.220796599785794,7,8
4,4,2,4,5,9.981028817955217,7,3
1,3,4,1,5,4.144964676247321,7,8
2,2,3,1,4,3.050420936001043,7,5
4,3,4,5,4,6.901518014382714,7,4
4,3,4,3,3,5.847682730417967,7,2
5,2,3,1,1,0.6533627855911173,7,9
2,3,4,3,3,7.769238488305783,7,8
1,2,3,2,5,6.55450633170463,7,9
1,2,2,1,2,8.385505448034039,7,9
2,4,1,4,2,5.118767782490742,7,3
2,5,4,3,3,1.5131206693488974,7,3
1,3,4,1,5,3.997049007776562,7,5
1,2,4,3,4,7.764944829421935,7,3
5,3,4,5,5,4.815266324611835,7,3
3,1,1,2,5,1.3939317583748034,7,5
1,4,5,1,3,0.9400449141275102,7,6
2,1,5,3,4,3.903768704314712,7,10
4,2,2,5,1,0.6157842612898456,7,8
5,5,4,4,1,2.2817512639872426,7,10
3,2,2,3,2,6.439152881776975,7,5
2,5,3,1,3,7.434277830298984,7,6
4,3,1,1,5,8.94926296520094,7,5
1,2,4,2,3,6.0264544115504055,7,3
3,4,2,4,1,4.309247160090165,7,9
1,1,5,4,2,4.930397221002243,7,4
1,1,5,4,3,6.183478641406276,7,6
4,4,3,3,4,1.1975279110579817,7,2
5,4,4,5,2,3.5792569235853247,7,9
5,2,1,3,4,1.050570986063416,7,6
4,2,4,5,5,2.738991963609619,7,6
1,3,1,5,1,7.043873368042189,7,10
4,5,5,2,3,8.847738741304509,7,2
1,3,4,4,3,8.209905881380685,7,9
2,5,2,1,4,5.432733510858023,7,1
2,2,2,1,5,4.01129662553191,7,2
3,2,4,5,3,2.6106169004576363,7,3
2,2,4,1,4,9.627865939757314,7,9
4,3,5,2,1,0.9668583793645591,7,8
4,1,4,5,4,5.836967583429713,7,1
2,5,2,1,4,9.017960805725874,7,10
3,2,5,3,1,2.588888658680756,7,2
2,3,1,1,1,3.313372608869095,7,8
1,2,3,5,5,8.314181358717153,7,8
2,2,5,3,3,4.683668374389506,7,9
2,3,2,3,5,1.45885449632696,7,3
4,2,2,2,5,3.5430601363523317,7,1
3,1,1,4,1,9.72416181181096,7,2
5,5,2,4,3,8.816355963827014,7,3
1,1,5,2,2,5.906031058352953,7,9
2,1,5,3,3,5.495651497273264,7,6
5,3,1,5,4,0.30978447536088805,7,1
3,5,4,1,3,2.287754967299324,7,4
2,5,2,1,5,3.877037875774856,7,7
1,1,1,5,1,8.01982547527729,7,2
2,2,1,1,4,2.6616243538583504,7,4
5,2,5,1,3,5.139882673644052,7,4
4,2,3,5,5,3.574391009967619,7,6
2,1,5,5,4,9.92599450599525,7,4
1,2,1,5,2,5.812431997581622,7,2
3,5,4,3,2,1.9200581423607033,7,7
3,2,5,5,3,1.3254337928807147,7,7
4,2,5,2,1,0.023633960979737578,7,2
5,4,4,3,4,4.945905591628778,7,1
5,2,5,5,1,6.311972885833735,7,9
4,3,2,1,1,0.8453036545753145,7,2
2,3,4,2,1,0.9506852133160548,7,2
2,4,2,1,4,0.3890613686745348,7,5
5,1,3,2,1,0.5923336841755977,7,5
4,1,3,2,1,5.328178247917207,7,3
3,2,3,2,3,4.68234828706203,7,6
3,5,1,2,1,0.4610208339596067,7,2
1,1,3,5,5,1.877071675351113,7,6
2,5,3,3,4,5.055479302199277,7,8
4,3,1,2,5,5.76745734934954,7,1
5,3,2,5,3,1.1776275186068785,7,1
3,1,4,2,4,0.5998223007796122,7,9
1,2,4,1,5,9.468417785124437,7,1
1,4,3,2,1,6.619121531936928,7,5
3,4,2,2,3,5.75545262028145,34,2
3,1,2,1,2,9.504027890561105,34,8
5,4,5,4,5,6.602452840698013,34,3
5,1,3,5,2,5.397483589112938,7,5
1,5,2,4,1,9.65166068237098,36,6
3,5,3,4,3,6.322094016296463,36,7
3,2,5,3,3,4.078712232929953,7,3
5,2,4,5,2,8.650970301028005,7,2
5,4,4,4,2,1.3329916848766687,7,8
2,1,5,1,3,6.895777869464612,7,2
3,2,4,5,1,0.1929746145877198,7,10
2,1,4,5,3,1.4246401191658742,7,1
4,4,5,1,5,2.298092091738239,7,1
2,3,4,1,5,7.321506446531334,7,8
2,1,1,3,5,1.7056328302764456,7,7
1,5,5,4,3,7.785516116985049,7,2
3,1,2,1,5,1.1977743070607527,7,10
4,5,3,4,3,0.9581797784817303,7,3
1,5,1,2,5,6.003938758350239,7,5
5,3,3,5,4,0.24075904175448137,7,7
1,2,3,3,2,9.69340628269862,7,3
4,4,4,4,5,3.7564839940593195,7,9
5,2,3,2,3,3.9460295409922264,7,6
2,5,3,5,2,8.62158715977534,7,4
2,1,5,1,3,9.381867555281914,53,1
4,2,4,2,5,3.681748806681103,53,6
1,4,1,2,1,9.298630241732575,7,10
4,2,1,3,4,1.6771656752689479,5,1
3,4,3,2,1,7.988654718835381,1,4
2,3,1,2,4,0.6471023866698888,17,9
2,1,3,3,3,8.486032894570192,17,10
3,4,2,1,2,6.674393877431748,7,9
1,5,3,3,4,7.1673122952519925,7,7
5,4,2,5,2,4.310587874198565,7,9
1,4,5,4,1,1.8017901110921575,7,5
1,1,2,4,4,7.105025101557847,7,5
1,5,2,2,5,6.252161104835357,7,6
3,5,3,2,2,4.745009437296977,7,4
3,1,5,3,5,0.4261572666976332,7,1
5,1,3,5,5,6.494053327705275,7,10
5,3,3,4,3,6.223520748191836,87,7
5,3,1,2,3,3.3681982274774827,87,9
4,1,2,3,5,2.8738658222475633,7,2
1,4,4,4,1,9.409799639932725,1,3
2,4,2,1,4,9.184100035611456,84,3
3,3,5,5,1,3.739393337440493,21,5
2,2,2,1,3,1.3870547401253197,34,3
5,1,2,4,4,8.246054135554527,84,8
1,3,4,2,2,7.949806600986306,61,3
1,3,1,3,2,2.587861945311445,25,7
5,3,2,1,4,8.023340761578716,7,4
5,4,3,3,5,0.8928549845723677,81,3
2,1,4,5,3,7.294279499623608,25,8
3,1,4,4,3,7.499081820321693,25,5
1,4,4,4,5,0.1291319288143722,61,10
3,1,2,2,2,9.318598973845006,81,6
1,2,2,5,5,3.8916661211833006,100,5
4,2,4,2,2,8.729440510629031,34,5
3,3,1,5,4,0.5978154069208697,56,4
3,2,2,3,2,9.22199890271784,1,4
1,5,3,5,2,0.99977525264354,25,1
1,4,5,1,4,5.7609572835190175,1,3
1,1,5,4,4,0.5780440551296473,25,7
4,4,4,4,5,3.459299848531937,34,5
2,4,4,5,2,7.798954896301353,34,1
3,3,3,2,4,2.968387016179528,34,9
5,2,1,5,2,5.481845081299685,34,2
5,2,1,2,5,8.37043153799817,34,2
5,4,3,2,2,0.7984445664252293,34,6
1,1,5,1,5,7.048031843915435,34,10
1,4,4,4,2,0.2769862997311423,34,6
5,4,2,1,5,8.332193592429203,34,6
1,5,2,3,4,4.233937381007065,34,9
5,5,4,2,1,4.27282125182608,34,7
4,3,2,3,4,7.62284442628806,34,7
1,5,2,3,5,5.660102762580557,34,9
3,3,3,5,3,0.10475642627399417,34,7
2,3,3,2,3,2.0143184240782386,34,6
1,1,2,2,5,0.38914553761946746,34,4
3,5,1,1,1,9.920048947052113,34,8
4,4,5,1,5,9.005137645032287,34,5
2,1,4,2,4,8.037920792540481,34,1
1,1,1,1,3,4.101782995473972,34,9
3,1,4,1,1,9.49207874247376,34,5
5,2,2,3,4,7.347312072172669,34,6
4,5,5,1,5,5.812699774707494,34,2
4,3,3,4,5,6.614289346566409,34,5
2,3,4,2,2,5.516999920217166,34,6
3,3,5,5,2,7.8563637077149675,34,6
2,5,3,2,3,2.6988168683683,34,5
3,4,3,5,4,5.386406735720849,34,2
4,3,3,3,1,7.644047996903898,34,7
1,5,5,1,4,6.2911738131701,34,5
3,4,5,3,3,4.491002316872312,34,4
1,1,1,5,3,2.412745773170195,34,4
1,3,3,2,1,6.278378963332719,34,2
1,4,5,5,5,9.989601209779742,34,1
2,4,1,4,3,9.007071934296299,34,4
4,3,4,1,5,4.129547989494643,34,9
3,4,3,3,1,8.04707597828319,34,3
5,4,4,1,2,2.6536597473152956,34,6
1,1,1,2,1,8.359027592424246,34,2
5,5,2,4,5,0.405150118495774,34,5
2,1,5,2,2,2.3989626301198785,34,10
2,3,1,4,4,4.882879543374133,34,3
1,2,3,1,1,4.991097009058977,34,4
4,1,4,4,1,7.375898809905643,34,1
2,2,2,4,2,8.832653898662288,34,10
1,5,2,4,1,7.44879606944558,34,7
3,4,5,4,3,1.842297189363079,34,10
5,1,3,5,5,5.592077092157915,34,2
4,1,2,4,3,3.9683397039430135,34,2
4,2,4,2,4,9.693762985832509,34,4
2,2,1,2,2,6.154433827811965,34,9
3,3,3,1,3,1.168413943811436,34,10
1,2,3,1,1,4.472219840307131,34,3
2,4,5,5,1,9.577734994035485,34,8
1,4,3,3,4,2.145478667491564,34,8
3,2,3,1,4,2.6656287925902022,34,9
4,1,3,5,1,4.04180687344192,34,8
4,4,5,5,1,6.351198317413447,34,7
3,1,4,1,5,0.14905837217008444,34,2
2,5,5,2,2,2.428325241957819,34,1
1,3,1,5,1,2.2767312719753963,34,10
4,4,5,2,3,7.936029701951465,34,7
3,5,1,5,1,7.602449640769379,34,7
4,1,3,3,4,8.937832867547757,34,1
1,1,3,5,4,4.334356404548327,34,3
3,5,1,4,2,2.072905321029994,34,7
4,2,5,4,4,0.9484337387156072,34,2
5,2,3,2,2,1.8780657279646418,34,10
3,5,3,5,3,8.981566002551897,34,2
5,1,2,2,1,1.2173610513188682,34,6
5,3,5,5,3,4.7779219192663795,34,2
4,1,4,2,5,1.1941262312174317,34,6
2,3,1,3,3,3.337362164131773,34,4
2,3,4,4,2,0.1173688213818147,34,9
1,2,1,5,5,2.3287117389939507,34,5
4,1,3,5,2,5.3536813544247455,34,5
4,4,2,3,1,1.6463938572508574,34,10
5,1,1,3,5,4.799943654809291,34,3
4,5,2,2,3,9.759108026534212,34,9
5,2,5,4,3,0.9719625851790037,34,1
5,1,1,5,4,3.747158526871762,34,10
1,5,1,3,3,4.702161160403673,34,6
2,3,3,2,1,8.285355262567615,34,1
3,2,1,2,3,9.754278223396026,34,7
3,4,4,4,1,9.190699879181022,34,8
2,5,2,2,1,6.818413417319159,34,6
3,4,5,2,4,6.543615817144227,34,8
5,3,2,3,5,5.250699834308582,34,6
5,3,5,2,3,8.592073525280696,34,2
1,1,1,4,3,8.975469223341863,34,5
2,4,4,4,5,2.5057610344488754,34,6
5,1,2,1,3,0.8791163631088728,34,4
3,1,5,4,2,2.8888207476712244,34,9
5,2,5,4,2,3.087229614390324,34,9
5,1,1,1,2,4.270665957625871,34,7
3,5,5,4,2,6.199006670014878,34,6
5,2,3,1,3,6.112638191156642,34,2
4,4,1,2,4,9.98834274197945,34,2
4,4,5,3,3,5.045549300470631,34,2
5,4,5,4,2,7.2187867462825,34,4
2,1,5,5,3,1.9257391070790186,34,7
5,3,1,3,3,8.98265287256109,34,1
2,2,4,5,3,2.9977968867708116,34,8
4,1,5,1,5,6.627845730441493,34,5
4,2,1,5,5,9.220195784424083,34,7
4,2,4,3,4,7.2393946120164525,34,3
3,4,3,1,2,0.9699878173596499,34,2
4,5,1,3,3,8.964932860163323,34,2
5,3,5,4,3,3.411291752597224,34,5
2,3,1,1,4,8.279782609108903,34,5
1,2,5,2,2,8.777979326050874,34,5
2,2,4,2,3,5.411376250672385,34,10
5,5,4,5,2,7.999104226497708,34,3
5,5,4,5,3,6.379804732379054,34,5
3,4,4,5,1,5.691068707721088,34,2
4,1,1,2,4,8.795461359940733,34,9
5,4,2,1,3,2.1890673710005126,34,5
5,3,1,5,4,4.152674098522309,34,10
4,4,1,1,5,1.3325756942567668,34,3
4,1,2,3,4,6.078388735356329,34,6
2,4,3,5,3,3.335637540320352,34,7
1,1,5,3,3,4.430502656705727,34,5
4,5,4,2,1,8.940539006342568,34,1
4,2,1,4,3,6.5464046202837025,34,9
1,3,2,4,4,2.131491721318246,34,3
5,4,4,1,1,8.260464794379047,34,8
4,4,2,4,1,1.3622499147336586,34,9
4,3,4,3,5,7.4864689884021445,34,2
1,3,5,2,2,8.525014194215274,34,8
1,5,1,4,4,4.58334873763112,34,2
3,2,4,5,1,0.47660814433931664,34,2
5,1,4,5,2,5.527673214803705,34,2
4,4,2,1,4,5.837220292962596,34,5
5,5,2,3,3,0.5406228518293099,34,8
2,1,4,2,2,8.970603209180402,34,2
2,3,5,4,4,9.76638067308474,34,8
5,1,4,1,3,8.135721906654679,34,8
3,5,1,2,2,0.05218689954388789,34,7
3,1,4,3,5,8.719993095273278,34,4
2,1,4,1,5,2.0846849986417073,34,10
5,4,3,4,3,8.46187120940509,34,9
5,3,1,3,2,0.500416494246464,34,6
1,1,2,1,4,0.8352375089588893,34,7
3,5,2,4,2,6.101377571704809,34,2
4,1,4,5,1,4.119748442730574,34,10
1,5,3,5,5,9.373072803269327,34,4
5,4,4,2,1,3.5419700841775192,34,5
1,3,1,5,4,6.673968622407775,34,9
4,5,5,4,2,0.11906722142958293,34,7
5,1,3,2,3,4.984730730349424,34,4
4,1,3,4,2,7.190042763533744,34,3
4,1,4,4,4,8.562747327883757,34,8
5,4,5,1,1,7.157367195268498,34,2
4,4,4,5,4,2.0315397443645846,34,1
4,4,5,2,1,5.637974625871537,34,5
1,5,2,3,4,1.1875229274525323,34,3
4,1,3,5,3,7.306928636395474,34,6
3,1,2,4,3,0.9743829895142164,34,2
2,1,2,5,4,3.397013231885219,34,2
5,3,3,5,5,3.92779568565065,34,10
2,4,5,4,1,2.8273531867399293,34,2
1,4,2,5,3,0.9486165536492763,34,1
1,1,3,1,3,0.4040461343284285,34,8
2,2,4,3,4,8.659750639917135,34,1
3,3,2,1,5,6.764997889447351,34,6
2,3,5,4,5,0.4250045116630796,34,2
5,2,2,4,3,2.5193700390887432,34,5
1,1,2,3,1,9.566087348940078,34,5
1,3,2,5,1,1.8957058861336407,34,5
4,3,1,3,5,3.080881531487555,34,2
5,1,2,5,4,3.1862720443593906,34,9
5,5,4,1,3,5.943164155359507,34,8
2,4,2,1,4,7.225445734074439,34,5
3,2,2,1,5,3.390626499172341,34,4
1,2,1,5,3,5.589873990309046,34,2
1,2,4,5,5,8.830354978936457,34,8
5,1,1,5,4,5.246201389015241,34,10
3,4,2,5,2,0.9827696491043358,34,1
3,3,5,4,2,6.520633125651459,34,7
3,2,5,3,4,5.485009309204452,34,5
5,3,4,1,3,0.3110485652786499,34,7
2,1,4,3,2,0.13732181028622725,34,8
3,3,4,2,3,1.887222711776313,34,10
3,2,2,3,5,2.7978025646183537,34,1
4,3,1,1,4,1.2872788175093597,34,10
5,4,5,2,2,8.2668059698001,34,9
2,5,1,2,2,1.1846614162636715,34,5
5,2,2,3,4,1.1646329329464467,34,9
2,5,4,2,1,9.222682763435557,34,6
2,1,4,3,1,5.053225604932762,34,7
1,3,4,1,3,8.52431602199217,34,10
3,3,5,1,5,7.848090897226456,34,1
3,4,5,5,1,8.061969773999081,34,8
5,4,1,5,5,8.008626790561387,34,8
1,5,5,2,5,8.936891836643388,34,5
3,2,2,1,5,0.21278862767264317,34,9
3,2,3,1,5,9.933203069059385,34,10
5,3,1,4,4,8.305606370426883,34,2
3,5,5,1,3,9.734574182188991,34,6
3,5,1,3,1,9.121822482593304,34,10
2,2,3,2,5,9.494683853672521,34,6
5,4,5,5,3,9.893631182610047,34,4
5,4,4,3,5,0.9374380214977862,34,7
3,5,1,3,4,3.552137451542774,34,3
2,2,2,2,4,2.476764394557093,34,7
4,1,2,1,1,8.6244976248659,34,10
5,5,1,2,3,6.778214238712426,34,8
3,2,5,5,4,4.7985529813001815,34,7
4,5,5,5,3,1.86172192856205,34,3
3,3,3,5,4,6.766906206769897,34,8
1,2,1,5,2,5.915939379115821,34,9
3,3,4,1,5,2.2344606458625926,34,1
5,1,1,4,4,8.71381032688165,34,10
2,1,4,5,1,9.054661982895574,34,10
4,1,1,3,3,4.157054515353613,34,10
4,5,1,2,5,9.875704745147091,34,9
3,3,3,3,5,1.8698576975855408,34,4
1,1,5,4,5,0.990260721346603,34,2
3,2,3,2,2,5.350987644895176,34,7
5,2,5,1,5,9.2878025320145,34,8
5,2,3,4,4,8.868324235249686,34,9
1,3,5,1,2,4.715813468982866,34,6
3,1,1,3,2,3.187614233821272,34,4
4,4,4,2,2,3.1295053787433758,34,7
1,2,3,4,3,7.505183350534294,34,4
1,1,2,5,5,0.26408713174795095,34,2
3,2,5,5,1,5.799235359161139,34,1
4,3,4,3,4,1.0866937554627931,34,7
4,4,1,1,3,8.962368110259252,34,3
2,1,1,4,4,4.593406276969781,34,1
1,3,1,2,5,8.245040666647007,34,5
4,1,4,4,4,6.222547472920198,34,8
1,5,1,5,4,6.163925945788677,34,9
3,5,5,1,4,5.6659538517301264,34,8
5,3,1,3,2,5.876236862376073,34,10
1,4,2,4,2,4.055354591861455,34,1
5,4,5,2,1,6.95042921220271,34,2
5,2,4,5,5,7.754911264123447,34,5
5,3,1,4,1,5.83791462303341,34,5
2,1,5,5,4,8.55556591949323,34,9
3,5,3,1,1,9.537477197573677,34,1
5,4,2,2,2,5.587695381572272,34,8
3,2,4,5,1,3.592998541433335,34,9
3,1,4,4,5,6.301675888495705,34,7
5,2,1,3,5,4.891415795819335,34,4
4,4,2,3,2,3.0650554576543065,34,3
4,5,2,1,3,5.662640462477452,34,8
1,1,3,3,5,9.849424581589801,34,10
2,4,3,4,4,3.1574021474375256,34,8
1,2,4,1,3,2.9743331029805873,34,6
3,2,4,5,5,8.058054551853838,34,10
5,2,3,5,5,3.2925210208430222,34,6
1,5,3,2,2,0.4909762487661584,34,7
1,5,4,5,5,9.723439349980573,34,1
4,1,1,4,2,0.6691393095487785,34,1
2,4,4,5,5,2.934932661258518,34,3
3,5,5,5,4,4.43748873279882,34,1
1,2,4,5,3,7.149880804141412,34,5
4,3,5,2,2,3.6068541120641138,34,1
5,1,5,3,5,5.946238782629205,34,7
1,5,3,4,1,6.829441518235448,34,8
2,2,4,3,3,2.400001922366476,34,10
2,5,2,3,3,7.301945243287019,34,5
3,2,1,4,5,3.236487114875958,34,5
1,4,3,3,2,4.769311989569637,34,10
1,2,4,2,4,6.6518759081822845,34,3
1,2,5,2,1,8.553136434614338,34,5
4,4,3,3,1,3.9099939563218067,34,3
3,1,5,2,2,3.606667307202762,34,10
3,5,3,3,4,5.831518535332224,34,4
3,1,3,3,5,6.459817976232195,34,6
5,5,4,1,4,8.207880487549136,34,8
4,1,5,3,3,0.7441633017881244,34,7
2,4,5,2,1,4.474034038439547,34,5
3,1,2,3,1,5.0069142916179,34,1
3,4,4,3,4,7.423135450264611,34,7
5,5,2,3,4,5.44026742111567,34,7
3,2,5,5,5,1.90976728475589,34,3
3,1,4,5,3,9.235271565611496,34,10
3,5,5,1,1,7.372127931126773,34,3
5,5,3,4,5,3.0988666978685044,34,6
2,5,5,3,4,8.485311227923148,34,1
4,1,1,5,5,4.178229864218603,34,6
5,2,2,1,4,6.817112485697503,34,5
4,5,3,1,4,5.162559619413463,34,5
4,5,2,5,2,9.444407971926736,34,2
5,2,3,4,4,0.18401374887882183,42,6
1,2,5,3,2,5.9235082959138285,7,1
5,1,5,2,4,4.818342236230324,8,7
4,3,4,1,4,9.237282125730049,38,10
4,3,1,4,4,3.4876123498403055,61,8
4,4,2,3,1,1.296716560993827,34,2
3,5,5,1,5,7.2613728326027545,2,5
3,1,5,5,2,8.946465515925492,25,6
2,4,2,4,2,6.20805905167648,25,2
3,1,3,2,2,3.98408514881619,81,1
2,1,2,3,4,2.3164921763488477,61,3
1,5,2,4,1,0.3798846064031103,3,5
2,4,5,4,5,5.1241329386556655,84,7
5,4,5,1,3,6.770692898612136,41,8
1,3,3,1,3,2.810231851893726,1,8
4,4,4,4,4,0.22976141536763417,21,1
5,2,4,4,1,1.0600352318890138,19,5
2,2,5,4,2,0.8987869245917657,7,4
4,1,1,4,2,0.8607961851758561,53,8
5,5,4,1,3,7.202441151918853,1,10
5,2,1,2,2,4.059727278804862,34,7
2,1,5,3,1,3.525678364953678,81,9
1,3,5,2,4,7.396452006046122,34,4
4,3,1,5,3,9.044809644151325,100,4
3,2,2,5,1,6.580160427913278,1,5
5,4,4,3,4,8.347050993123894,34,6
1,4,2,5,4,5.478362762299457,9,2
1,2,4,5,1,3.028068943658302,7,9
5,2,4,5,1,4.805753701167114,19,1
1,1,1,1,1,6.5029672410105395,61,6
3,5,4,3,1,2.2484605802234627,5,7
1,3,5,5,3,4.620538815152945,34,7
5,3,5,4,2,4.463119381284407,61,10
3,2,4,3,2,1.8542001109653028,68,4
4,5,4,1,4,3.3344667499211855,7,4
5,2,4,4,2,2.0487714225655074,1,1
4,1,4,3,1,5.518623988111226,34,9
3,1,2,1,5,4.370124591559261,53,7
3,2,1,3,4,3.617656303835284,34,2
3,1,5,3,1,7.511272168061812,6,6
2,5,5,4,2,2.9898492801382517,100,7
4,5,4,3,3,0.9464882449274781,100,7
5,4,5,4,4,2.5336663130130277,61,5
4,1,1,2,3,3.0024734542910547,100,6
1,1,4,1,4,2.2888496648777723,100,6
1,3,4,3,4,7.602322814294164,5,5
3,4,1,2,1,6.072168899235615,208,4
1,5,3,5,1,5.676685479157776,1,7
3,5,4,5,4,0.13391220221975475,81,10
3,2,2,4,5,1.6173416103499272,3,2
4,2,4,5,1,7.062570299135121,19,1
5,4,2,3,5,3.851811503523529,38,1
1,2,2,1,5,5.667165136286,84,1
1,3,1,2,5,1.1819015401790334,1,8
2,1,5,3,2,6.812453241646917,81,5
3,5,5,2,3,8.926612189340632,3,4
3,2,3,5,3,4.248274852821682,42,8
2,3,5,3,5,8.639965227065542,3,5
4,3,1,5,2,8.61265222373049,7,2
4,4,3,3,3,7.068903393075612,61,5
1,2,5,2,4,4.942322110665169,61,4
3,1,2,2,3,5.3512655014792285,34,2
4,1,2,1,5,7.261836227675525,1,8
5,1,1,3,1,9.13299714122783,81,1
3,3,1,1,4,1.3926027456522005,56,3
1,1,2,3,1,9.604715283039612,5,6
3,2,3,2,2,1.4762415016868113,56,10
5,1,2,4,1,0.4638310770278309,81,1
1,1,1,1,5,9.777913273552128,7,4
5,4,5,2,4,1.8701564962252748,28,7
2,1,3,1,4,1.370933467011658,208,3
5,5,3,1,3,6.992621233790018,25,4
2,1,2,3,2,7.4777403150181785,208,2
1,5,2,1,4,4.157638625314145,81,5
2,3,2,5,1,9.259725222635206,56,9
1,2,4,3,1,1.605560356200546,28,6
3,2,3,2,5,7.220087727063456,56,9
1,4,3,2,1,0.3704325253385543,3,2
5,5,1,1,1,6.969374842528607,25,9
2,5,3,1,3,2.814415449884745,56,4
5,3,2,5,5,1.048328785454079,7,8
2,2,5,4,3,6.41084577692596,41,7
5,3,5,2,4,1.0478177423550261,25,8
1,4,5,1,1,2.005874497845943,1,6
1,5,2,2,4,6.196712939449629,68,2
4,3,1,2,2,9.130787538754557,38,5
3,1,3,4,3,7.4310622003078874,25,2
2,2,3,2,5,5.6708572779677,56,10
5,5,3,4,3,1.2909941220365884,57,4
5,5,2,5,4,8.464901554289725,100,8
4,4,3,2,2,7.233958437870495,1,4
1,2,1,3,4,5.428554266828266,34,4
2,4,2,3,1,6.177108931335481,28,2
4,1,3,5,4,5.838395669647138,2,2
5,2,2,4,3,3.5937345638835714,6,5
3,5,2,3,5,2.7652474559311733,84,6
1,2,5,5,5,4.987419139640497,19,5
2,5,2,5,2,0.1420012043736829,25,8
5,4,2,3,1,8.18498479886472,100,9
2,2,4,3,5,8.845694957622921,8,5
1,1,3,2,3,7.236984949717628,68,3
1,2,4,5,2,9.537533248229508,102,9
5,4,5,2,1,7.547773339091989,3,1
1,1,5,2,1,8.287340408498322,25,4
5,2,3,3,3,5.918667226950615,34,6
1,5,1,2,4,2.8708322301119207,81,5
2,1,1,1,4,2.8220893674377976,208,1
